business_name,phone,email,has_email,address,city,state,country,niche,rating,review_count,maps_url
AJ 247 Plumbing & Heating Services LTD,+44 7823 751590,,False,,Birmingham,,UK,plumber,5.0,89,"https://www.google.com/maps/place/AJ+247+Plumbing+%26+Heating+Services+LTD/@52.4854824,-2.4812368,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x2c58a71857836121:0xda3fbce6ad7476ce!8m2!3d52.4973492!4d-1.8636315!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcuABAA!16s%2Fg%2F11xmvx_t4f?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
MAC Gas / Plumbing / Heating,+44 7887 657708,,False,,Birmingham,,UK,plumber,5.0,150,"https://www.google.com/maps/place/MAC+Gas+%2F+Plumbing+%2F+Heating/@52.4854824,-2.4812368,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x4870a5002b7fdcb1:0x84f23b3bf4fee539!8m2!3d52.5187984!4d-1.8278113!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcuABAA!16s%2Fg%2F11q1wvbcny?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
InstantFix 24/7 Plumbing,+44 7309 735598,,False,,Birmingham,,UK,plumber,5.0,10,"https://www.google.com/maps/place/InstantFix+24%2F7+Plumbing/@52.4854824,-2.4812368,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x2f7b42c87ef84985:0x27da4ea6c6f92716!8m2!3d52.4973492!4d-1.9333069!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMTBTMDR3VGxkaVJrRTBUVE5TU1ZwRE1IcFdiVVpIWXpGU2NGUnVZeEFC4AEA-gEECC0QJw!16s%2Fg%2F11yyzbsgdk?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"KAPELES, Heating and Plumbing Services - Birmingham",+44 161 302 9772,,False,,Birmingham,,UK,plumber,5.0,10,"https://www.google.com/maps/place/KAPELES,+Heating+and+Plumbing+Services+-+Birmingham/@52.4854824,-2.4812368,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x48709f59babec5a3:0xc9cfabc573379bc!8m2!3d52.4973492!4d-1.8636315!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb22SAQdwbHVtYmVy4AEA!16s%2Fg%2F11bttn10th?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Adams Plumbing & Electrics,+44 7716 437025,,False,,Birmingham,,UK,plumber,5.0,13,"https://www.google.com/maps/place/Adams+Plumbing+%26+Electrics/@52.4854824,-2.4812368,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x86221de3dbdb8737:0xe6969f8636e8d72c!8m2!3d52.4853958!4d-1.7815662!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydDRWbGRGVm1oaFZXaDFZbXhTVmxFeVJqTmhTRXA1WWtSV1VtSlZSUkFC4AEA-gEFCOoFEEQ!16s%2Fg%2F11xdf_799v?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Local Plumber Birmingham,+44 7584 190570,,False,,Birmingham,,UK,plumber,5.0,6,"https://www.google.com/maps/place/Local+Plumber+Birmingham/@52.4854824,-2.4812368,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0xac36d8575e2ae7b9:0x55af323fec25ba7!8m2!3d52.4973492!4d-1.8900621!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMTRkbE5VWnpWT2JWSkZZMVZvWm1Nd2NFWlBWMDB6WW01T1dsUkdSUkFC4AEA-gEECAAQQQ!16s%2Fg%2F11syz21rll?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
wm gas & plumbing,+44 7400 663330,,False,,Birmingham,,UK,plumber,5.0,19,"https://www.google.com/maps/place/wm+gas+%26+plumbing/@52.4854824,-2.4812368,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x8fa00f13aea01153:0x4bec544abd3f6efe!8m2!3d52.5058047!4d-1.818073!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEMZ2FzX2VuZ2luZWVymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJxTjBwdFpWUjNFQUXgAQD6AQQIYBBI!16s%2Fg%2F11vrxpk0wn?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Anchor plumbing,+44 7404 368506,,False,,Birmingham,,UK,plumber,5.0,12,"https://www.google.com/maps/place/Anchor+plumbing/@52.4854824,-2.4812368,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x2d6cd23e64e5acaf:0x49c4a73304f2c6a6!8m2!3d52.5518159!4d-1.9610123!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydHNiRTB5TVcxaU1IZDBURlk1TmxGdVpGWlNXRUpJV2taV05GZ3lZeEFC4AEA-gEFCIABEDQ!16s%2Fg%2F11mcvks192?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
OnePhase Plumbing,+44 7960 913696,,False,,Birmingham,,UK,plumber,5.0,15,"https://www.google.com/maps/place/OnePhase+Plumbing/@52.4854824,-2.4812368,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x4f393e2c2f8bc235:0x96a34ca4eb97e08e!8m2!3d52.4595664!4d-1.7903676!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyc3hURlZIYjNkWk0xb3pZM3BLVkZwWGVHbFpla1pPV2pOR05sSklZeEFC4AEA-gEFCMwBEEk!16s%2Fg%2F11yst6gnh0?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Plumbing Heating Solutions Midlands Ltd,+44 7864 834292,,False,"First Floor, Unit 11, Middlemore Rd, Birmingham B66 2DZ, United Kingdom",Birmingham,,UK,plumber,4.9,38,"https://www.google.com/maps/place/Plumbing+Heating+Solutions+Midlands+Ltd/@52.4854824,-2.4812368,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x4870bd9ef00363bb:0x747bfde1b548aa68!8m2!3d52.5037095!4d-1.9623264!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgESaGVhdGluZ19jb250cmFjdG9y4AEA!16s%2Fg%2F11q25pg6zf?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
