business_name,phone,email,has_email,address,city,state,country,niche,rating,review_count,maps_url
AJ 247 Plumbing & Heating Services LTD,+44 7823 751590,,False,,Birmingham,,UK,plumber,5.0,89,"https://www.google.com/maps/place/AJ+247+Plumbing+%26+Heating+Services+LTD/@52.4613076,-2.5512392,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x2c58a71857836121:0xda3fbce6ad7476ce!8m2!3d52.4973492!4d-1.8636315!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcuABAA!16s%2Fg%2F11xmvx_t4f?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
MAC Gas / Plumbing / Heating,+44 7887 657708,,False,,Birmingham,,UK,plumber,5.0,150,"https://www.google.com/maps/place/MAC+Gas+%2F+Plumbing+%2F+Heating/@52.4613076,-2.5512392,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x4870a5002b7fdcb1:0x84f23b3bf4fee539!8m2!3d52.5187984!4d-1.8278113!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcuABAA!16s%2Fg%2F11q1wvbcny?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
InstantFix 24/7 Plumbing,+44 7309 735598,,False,,Birmingham,,UK,plumber,5.0,10,"https://www.google.com/maps/place/InstantFix+24%2F7+Plumbing/@52.4613076,-2.5512392,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x2f7b42c87ef84985:0x27da4ea6c6f92716!8m2!3d52.4973492!4d-1.9333069!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMTBTMDR3VGxkaVJrRTBUVE5TU1ZwRE1IcFdiVVpIWXpGU2NGUnVZeEFC4AEA-gEECC0QJw!16s%2Fg%2F11yyzbsgdk?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"KAPELES, Heating and Plumbing Services - Birmingham",+44 161 302 9772,,False,,Birmingham,,UK,plumber,5.0,10,"https://www.google.com/maps/place/KAPELES,+Heating+and+Plumbing+Services+-+Birmingham/@52.4613076,-2.5512392,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x48709f59babec5a3:0xc9cfabc573379bc!8m2!3d52.4973492!4d-1.8636315!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb22SAQdwbHVtYmVy4AEA!16s%2Fg%2F11bttn10th?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Adams Plumbing & Electrics,+44 7716 437025,,False,,Birmingham,,UK,plumber,5.0,13,"https://www.google.com/maps/place/Adams+Plumbing+%26+Electrics/@52.4613076,-2.5512392,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x86221de3dbdb8737:0xe6969f8636e8d72c!8m2!3d52.4853958!4d-1.7815662!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydDRWbGRGVm1oaFZXaDFZbXhTVmxFeVJqTmhTRXA1WWtSV1VtSlZSUkFC4AEA-gEFCOoFEEQ!16s%2Fg%2F11xdf_799v?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Local Plumber Birmingham,+44 7584 190570,,False,,Birmingham,,UK,plumber,5.0,6,"https://www.google.com/maps/place/Local+Plumber+Birmingham/@52.4613076,-2.5512392,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0xac36d8575e2ae7b9:0x55af323fec25ba7!8m2!3d52.4973492!4d-1.8900621!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMTRkbE5VWnpWT2JWSkZZMVZvWm1Nd2NFWlBWMDB6WW01T1dsUkdSUkFC4AEA-gEECAAQQQ!16s%2Fg%2F11syz21rll?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
wm gas & plumbing,+44 7400 663330,,False,,Birmingham,,UK,plumber,5.0,19,"https://www.google.com/maps/place/wm+gas+%26+plumbing/@52.4613076,-2.5512392,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x8fa00f13aea01153:0x4bec544abd3f6efe!8m2!3d52.5058047!4d-1.818073!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEMZ2FzX2VuZ2luZWVymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJxTjBwdFpWUjNFQUXgAQD6AQQIYBBI!16s%2Fg%2F11vrxpk0wn?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Anchor plumbing,+44 7404 368506,,False,,Birmingham,,UK,plumber,5.0,12,"https://www.google.com/maps/place/Anchor+plumbing/@52.4613076,-2.5512392,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x2d6cd23e64e5acaf:0x49c4a73304f2c6a6!8m2!3d52.5518159!4d-1.9610123!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydHNiRTB5TVcxaU1IZDBURlk1TmxGdVpGWlNXRUpJV2taV05GZ3lZeEFC4AEA-gEFCIABEDQ!16s%2Fg%2F11mcvks192?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
OnePhase Plumbing,+44 7960 913696,,False,,Birmingham,,UK,plumber,5.0,15,"https://www.google.com/maps/place/OnePhase+Plumbing/@52.4613076,-2.5512392,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x4f393e2c2f8bc235:0x96a34ca4eb97e08e!8m2!3d52.4595664!4d-1.7903676!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyc3hURlZIYjNkWk0xb3pZM3BLVkZwWGVHbFpla1pPV2pOR05sSklZeEFC4AEA-gEFCMwBEEk!16s%2Fg%2F11yst6gnh0?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Plumbing Heating Solutions Midlands Ltd,+44 7864 834292,,False,"First Floor, Unit 11, Middlemore Rd, Birmingham B66 2DZ, United Kingdom",Birmingham,,UK,plumber,4.9,38,"https://www.google.com/maps/place/Plumbing+Heating+Solutions+Midlands+Ltd/@52.4613076,-2.5512392,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x4870bd9ef00363bb:0x747bfde1b548aa68!8m2!3d52.5037095!4d-1.9623264!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgESaGVhdGluZ19jb250cmFjdG9y4AEA!16s%2Fg%2F11q25pg6zf?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
STONEY LANE PLUMBERS MERCHANT,+44 121 773 6251,,False,"116-118 Stoney Ln, Sparkbrook, Birmingham B12 8AQ, United Kingdom",Birmingham,,UK,plumber,4.6,71,"https://www.google.com/maps/place/STONEY+LANE+PLUMBERS+MERCHANT/@52.4613076,-2.5512392,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x4870bb8b703acb15:0x79e569be8284318a!8m2!3d52.4556984!4d-1.8733907!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEVcGx1bWJpbmdfc3VwcGx5X3N0b3Jl4AEA!16s%2Fg%2F1tr8l00d?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Mr Bee Plumbing,+44 7971 035594,,False,"429 Chester Rd, Castle Bromwich, Birmingham B36 0JJ, United Kingdom",Birmingham,,UK,plumber,4.6,19,"https://www.google.com/maps/place/Mr+Bee+Plumbing/@52.4613076,-2.5512392,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x4870b03e32cd864b:0xb75dc18dea9e4074!8m2!3d52.5002521!4d-1.7550587!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMVZlRmxVVlRKTlJFWnhUbGRXYlZwVVNUSlZNRlpvVWtaV1ZWSllZeEFC4AEA-gEFCKUCED0!16s%2Fg%2F1vysvzxg?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Vamos Plumbing & Electrical Services 24H Ltd,+44 7451 293430,,False,,Birmingham,,UK,plumber,4.4,60,"https://www.google.com/maps/place/Vamos+Plumbing+%26+Electrical+Services+24H+Ltd/@52.4269257,-2.4840809,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x4870bb1dab8b9d0d:0x3268f9e4eb8e6198!8m2!3d52.4973492!4d-1.8636315!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcuABAA!16s%2Fg%2F11vm3k4mrt?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Contour Plastering Tiling & Plumbing Birmingham,+44 7528 803324,,False,"9a Park Rd, Moseley, Birmingham B13 8AB, United Kingdom",Birmingham,,UK,plumber,4.8,30,"https://www.google.com/maps/place/Contour+Plastering+Tiling+%26+Plumbing+Birmingham/@52.4269257,-2.4840809,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x4870bc0d30a8aecf:0x466bb73fe1dd32af!8m2!3d52.451705!4d-1.8894832!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEPdGlsZV9jb250cmFjdG9y4AEA!16s%2Fg%2F1tmpdcf4?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Sutton Coldfield Plumbing & Heating,+44 7985 734176,,False,,Birmingham,,UK,plumber,4.9,11,"https://www.google.com/maps/place/Sutton+Coldfield+Plumbing+%26+Heating/@52.4269257,-2.4840809,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x2d9665cedff971ff:0x57b522213392d67!8m2!3d52.6083884!4d-1.7729881!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycENlbFpHYUdsUlYyUkpXV3Q0YUU5VVVUTlNNRTVFV1ROb1dtVllZeEFC4AEA-gEECAAQJg!16s%2Fg%2F11n43t1szx?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
station plumbing and hardware ltd,+44 7380 147169,,False,"201 Station Rd, Birmingham B33 8BB, United Kingdom",Birmingham,,UK,plumber,5.0,10,"https://www.google.com/maps/place/station+plumbing+and+hardware+ltd/@52.4269257,-2.4840809,10z/data=!4m10!1m2!2m1!1splumber+Birmingham+United+Kingdom!3m6!1s0x4870bbe3b9edb5db:0xd8ff64004c35c465!8m2!3d52.4827116!4d-1.8098022!15sCiFwbHVtYmVyIEJpcm1pbmdoYW0gVW5pdGVkIEtpbmdkb21aIyIhcGx1bWJlciBiaXJtaW5naGFtIHVuaXRlZCBraW5nZG9tkgEOaGFyZHdhcmVfc3RvcmXgAQA!16s%2Fg%2F11lzcrdj_y?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
