business_name,phone,address,city,niche,website,has_website,rating,review_count,maps_url
Mr. Rooter Plumbing of Killeen,+1 254-613-2051,,,plumber,https://www.mrrooter.com/killeen/?cid=LSTL_MRR000199&utm_source=gmb&utm_campaign=local&utm_medium=organic,True,4.6,325,"https://www.google.com/maps/place/Mr.+Rooter+Plumbing+of+Killeen/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86454953eadc753f:0x30098555b5badafc!8m2!3d31.054008!4d-97.7405868!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcuABAA!16s%2Fg%2F11fmb4q79h?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"Mr. Rooter Plumbing of Killeen, TX",+1 254-781-4568,"2201 S W S Young Dr Suite 115A, Killeen, TX 76543, United States",TX 76543,plumber,https://www.mrrooterkilleen.com/,True,4.9,447,"https://www.google.com/maps/place/Mr.+Rooter+Plumbing+of+Killeen,+TX/@31.054008,-98.8941513,9z/data=!3m1!5s0x86454bd9ab4af0f5:0x52223c7dbe779a62!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86454bc789d5b5b9:0xe0f6247823f95df1!8m2!3d31.0942802!4d-97.7222788!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcuABAA!16s%2Fg%2F11vdkkxvsd?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Practical Plumbing,+1 254-768-9043,"1002 E Elms Rd Ste 103, Killeen, TX 76542, United States",TX 76542,plumber,http://practicalplumbing.com/,True,4.9,618,"https://www.google.com/maps/place/Practical+Plumbing/@31.054008,-98.8941513,9z/data=!3m1!5s0x86454babc7e00a63:0xf1840d7ff50cf8db!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86454bd0e32a6e91:0xc967212dd84bdaf4!8m2!3d31.0805641!4d-97.7379576!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcuABAA!16s%2Fg%2F11fsk9q9qc?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Judd Plumbing,+1 254-290-0787,"Killeen, TX 76541, United States",TX 76541,plumber,,False,4.6,44,"https://www.google.com/maps/place/Judd+Plumbing/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86454b8955555555:0x863c9054a7d5644b!8m2!3d31.116852!4d-97.7254579!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRdGEwOWZOelozUlJBQuABAPoBBAh9EDs!16s%2Fg%2F125_y93nh?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Alsop Plumbing,+1 254-699-6647,"4105 E Stan Schlueter Loop, Killeen, TX 76542, United States",TX 76542,plumber,,False,4.0,59,"https://www.google.com/maps/place/Alsop+Plumbing/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86454bd4ae34457b:0x52e8873048ec13a3!8m2!3d31.0782469!4d-97.7020656!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycEdNbU50YkhWaFJYUkhWVzVWTkdWSVkzZGliR00wV1d0R1MxRlZSUkFC4AEA-gEECFkQIg!16s%2Fg%2F1tcvc8pc?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Piped Rite Plumbing Services,+1 254-441-5668,,,plumber,https://www.pipedriteplumbingservices.com/,True,4.9,194,"https://www.google.com/maps/place/Piped+Rite+Plumbing+Services/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x89b3af40310c369:0xaabd786597ff4ad1!8m2!3d30.6082985!4d-97.772563!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcuABAA!16s%2Fg%2F11jz4dfxm5?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"Prince Plumbing and Mechanical of Killeen, TX",+1 254-721-1350,"Commerce Dr, Killeen, TX 76543, United States",TX 76543,plumber,https://princeplumbingco.com/service-areas/plumber-in-killeen-tx/,True,4.5,93,"https://www.google.com/maps/place/Prince+Plumbing+and+Mechanical+of+Killeen,+TX/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86454bfb51a72097:0xd3d6985d48f0cd82!8m2!3d31.112767!4d-97.703704!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcuABAA!16s%2Fg%2F1w4vk9_y?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Ferguson and Son's Services,+1 254-233-2113,"810 N W S Young Dr Ste 107, Killeen, TX 76543, United States",TX 76543,plumber,http://fergusonandsons.services/,True,4.2,185,"https://www.google.com/maps/place/Ferguson+and+Son's+Services/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x86454b8615ee0293:0x47ccfd104ca4dae8!8m2!3d31.1201031!4d-97.7093013!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSc1h6aGZlRTFSRUFF4AEA-gEECAAQSA!16s%2Fg%2F11kgn1m1gg?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
My Plumbing,+1 254-371-5657,"5212 Tiffany Cir, Killeen, TX 76549, United States",TX 76549,plumber,,False,5.0,8,"https://www.google.com/maps/place/My+Plumbing/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x865ab501c5a8c875:0x4b477d70a38251e7!8m2!3d31.0778882!4d-97.8087831!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVObk1qUnVSRVYzRUFF4AEA-gEECAAQQg!16s%2Fg%2F11j8_j9z_l?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Morgan Creek Plumbing,+1 254-784-0627,,,plumber,,False,4.5,18,"https://www.google.com/maps/place/Morgan+Creek+Plumbing/@31.054008,-98.8941513,9z/data=!4m10!1m2!2m1!1splumber+Killeen+Texas!3m6!1s0x8c7a07eabd51b5cb:0x9af01200a08a706d!8m2!3d31.0796585!4d-97.6288295!15sChVwbHVtYmVyIEtpbGxlZW4gVGV4YXNaFyIVcGx1bWJlciBraWxsZWVuIHRleGFzkgEHcGx1bWJlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNM2QzVnlkV3RCUlJBQuABAPoBBAhEEEQ!16s%2Fg%2F11sbd234xd?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
