business_name,phone,address,city,niche,website,has_website,rating,review_count,maps_url
Orkin,+1 254-218-7316,"4201 Lake Shore Dr Ste A, Waco, TX 76710, United States",TX 76710,pest,https://www.orkin.com/locations/texas-tx/waco-pest-control/branch-778?utm_source=local&utm_medium=local&utm_campaign=LCL0279,True,4.8,1347,"https://www.google.com/maps/place/Orkin/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f8401443c1fe1:0xe7282a9550fd8390!8m2!3d31.5638054!4d-97.1944908!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F1v940gx8?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
855Bugs.com,+1 866-479-0396,"8807 Woodway Dr, Waco, TX 76712, United States",TX 76712,pest,https://855bugs.com/?utm_source=google&utm_medium=gbp&utm_campaign=waco,True,4.9,754,"https://www.google.com/maps/place/855Bugs.com/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f86a3728a7d05:0x8b1e0ecd98b69ff6!8m2!3d31.4985099!4d-97.2189263!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F1ptwy_cq8?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
GGA Pest Management,+1 254-666-3439,"1904 Franklin Ave, Waco, TX 76701, United States",TX 76701,pest,https://ggapest.com/waco,True,4.9,555,"https://www.google.com/maps/place/GGA+Pest+Management/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f86a4ee6921fb:0xdd5ca60bd47b31d3!8m2!3d31.544276!4d-97.1437298!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F1vlk1z_6?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Terminix,+1 844-692-1419,"600 Columbus Ave Suite 106, Office 3, Waco, TX 76701, United States",TX 76701,pest,https://www.terminix.com/exterminators/tx/waco-21105/?utm_source=gmb-listing&utm_medium=organic&utm_campaign=satellite_21105&utm_term=waco,True,4.8,188,"https://www.google.com/maps/place/Terminix/@31.5638054,-98.3480553,9z/data=!3m1!5s0x864f8252ddded47d:0xf8e2d1b7dcfab82d!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f83cd033ad6df:0xa5c2b7457f1c104!8m2!3d31.5572321!4d-97.1347302!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F11sgjvhbnf?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Cen-Tex Pest Control,+1 254-235-0877,"2805 Risinger Rd, Lorena, TX 76655, United States",TX 76655,pest,https://www.wacobugs.com/,True,4.9,151,"https://www.google.com/maps/place/Cen-Tex+Pest+Control/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f80b71886c053:0x5ecec51944be9ceb!8m2!3d31.458704!4d-97.229646!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F1pp2x7kg8?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"Gorilla Pest Management, LLC",+1 254-405-4834,,,pest,https://www.gorillapest.com/?utm_source=gbp,True,4.9,35,"https://www.google.com/maps/place/Gorilla+Pest+Management,+LLC/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f872beda17983:0xd0ea2b5a7978d2b4!8m2!3d31.3956985!4d-97.3022015!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4xY25GWWVXVkJFQUXgAQD6AQUIugQQOQ!16s%2Fg%2F11kvqtwpqm?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Sureguard Lawn and Pest,+1 254-390-4843,"7725 Central Park Dr #5, Waco, TX 76712, United States",TX 76712,pest,https://sureguardpest.com/waco-tx/,True,5.0,373,"https://www.google.com/maps/place/Sureguard+Lawn+and+Pest/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f81bbc3cf3059:0x2299d2b747fc7!8m2!3d31.501308!4d-97.2060967!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5hTVMxRVlsOW5SUkFC4AEA-gEECAAQSA!16s%2Fg%2F11fkqlyfn8?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
iPest Solutions,+1 254-855-6647,"220 W Warren St, Hewitt, TX 76643, United States",TX 76643,pest,https://ipestpros.com/waco/,True,4.9,440,"https://www.google.com/maps/place/iPest+Solutions/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f8ae5ce5e2b15:0xef72e26970b6a96!8m2!3d31.4617547!4d-97.1971868!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F1vcq7_vm?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Legendary Pest Control LLC,+1 254-399-6637,"2125 Franklin Ave, Waco, TX 76701, United States",TX 76701,pest,https://legendarypestcontrol.com/,True,5.0,29,"https://www.google.com/maps/place/Legendary+Pest+Control+LLC/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f83c80739fe95:0x2018e856db788d4f!8m2!3d31.5423617!4d-97.146603!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0UmVGVnRPVEZPTUhRMlkxWkdiR0l6VW05UmFsWjJWV3hSTTFGdFl4QULgAQD6AQUIrR8QMA!16s%2Fg%2F11gr62k3x1?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Action Services WildLife & Pest Control,+1 254-717-6077,"621 N 29th St, Waco, TX 76707, United States",TX 76707,pest,https://www.actionserviceswpc.com/,True,4.7,38,"https://www.google.com/maps/place/Action+Services+WildLife+%26+Pest+Control/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f83eaba195715:0xc8e5c8502907f438!8m2!3d31.5413355!4d-97.1584707!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F1vs1s8z6?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
B and C Pest Control,+1 254-301-7790,"902 Audrey Ave, Waco, TX 76705, United States",TX 76705,pest,,False,4.9,29,"https://www.google.com/maps/place/B+and+C+Pest+Control/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f841b0b1d50a9:0x3fc2d05ac54268d7!8m2!3d31.64701!4d-97.1291!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJsTTBsSFlYaDNSUkFC4AEA-gEFCJQBEDA!16s%2Fg%2F1tj9trfw?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Maxwell Pest Control,+1 254-757-1907,"3615 Parrott Ave, Waco, TX 76707, United States",TX 76707,pest,,False,4.9,8,"https://www.google.com/maps/place/Maxwell+Pest+Control/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f838bd597c4c3:0x3a34c55493291e95!8m2!3d31.5470184!4d-97.176338!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F1tzgpmq0?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Brown's Termite & Pest,+1 254-715-8423,"3916 Charlton Ave, Waco, TX 76711, United States",TX 76711,pest,http://www.brownspestcontrol.net/,True,4.7,26,"https://www.google.com/maps/place/Brown's+Termite+%26+Pest/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f81623961bc3d:0x8e8f70b49ca09a56!8m2!3d31.517914!4d-97.151094!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIwNWJsRnNSbE5oTTBKVVYxZEdURkV6VW0xaE1scDZaRWhHUW1SRlJSQULgAQD6AQUIkQEQPw!16s%2Fg%2F1tdhfdth?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
"Eagle Pest Control,Inc",+1 254-757-1036,"3521 Leland Ave, Waco, TX 76708, United States",TX 76708,pest,http://www.eaglepestcontrolwaco.com/index.html,True,5.0,11,"https://www.google.com/maps/place/Eagle+Pest+Control,Inc/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x864f84780ebafa97:0x93499b07e6e872cc!8m2!3d31.5532584!4d-97.1793838!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F1tgb7s3p?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Advantage Pest Control,+1 512-368-7525,"516 Tipton Dr, Waco, TX 76710, United States",TX 76710,pest,http://advantagectx.com/Pflugerville/PestControlPflugervilleTX.html,True,5.0,37,"https://www.google.com/maps/place/Advantage+Pest+Control/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x8644cf44ed10728d:0x5fc43fb240917c05!8m2!3d31.5225781!4d-97.1900971!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F11gwff0_8g?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
Critter Control of Waco,+1 254-522-9922,,,pest,https://www.crittercontrol.com/office-finder/texas/waco/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,True,4.9,47,"https://www.google.com/maps/place/Critter+Control+of+Waco/@31.5638054,-98.3480553,9z/data=!4m10!1m2!2m1!1spest+control+Waco+Texas!3m6!1s0x64ee4a597795b5d3:0xea393f8ac7c33e9d!8m2!3d31.5095935!4d-97.2083175!15sChdwZXN0IGNvbnRyb2wgV2FjbyBUZXhhc1oZIhdwZXN0IGNvbnRyb2wgd2FjbyB0ZXhhc5IBFHBlc3RfY29udHJvbF9zZXJ2aWNl4AEA!16s%2Fg%2F11s8d2trsn?entry=ttu&g_ep=EgoyMDI2MDMyNC4wIKXMDSoASAFQAw%3D%3D"
